Wall time,Step,Value
1689293944.558455,0,0.5149672627449036
1689294442.604893,1,0.49997609853744507
1689294939.630293,2,0.48351427912712097
1689295436.528034,3,0.47281134128570557
1689295932.925881,4,0.4632067084312439
1689296431.79097,5,0.4526807367801666
1689296930.27009,6,0.44433194398880005
1689297428.823171,7,0.43092700839042664
1689297927.19594,8,0.4182393252849579
1689298425.868149,9,0.412433922290802
1689298923.56323,10,0.40902817249298096
1689299419.468153,11,0.40155306458473206
1689299916.350205,12,0.3904878795146942
1689300414.598428,13,0.3809077739715576
1689300912.09804,14,0.37500205636024475
1689301410.591313,15,0.3743913173675537
1689301908.808458,16,0.35890430212020874
1689302407.202393,17,0.3533749282360077
1689302906.410962,18,0.34627166390419006
1689303403.791738,19,0.34754514694213867
1689303902.46318,20,0.3360024690628052
1689304398.993616,21,0.33960282802581787
1689304899.31526,22,0.329988569021225
1689305401.203698,23,0.3233281075954437
1689305898.047361,24,0.3143238127231598
1689306395.512318,25,0.31632721424102783
1689306894.531449,26,0.30876871943473816
1689307391.569568,27,0.3016400933265686
1689307890.573792,28,0.3031021058559418
1689308388.914363,29,0.2990467846393585
1689308888.533211,30,0.29282045364379883
