Wall time,Step,Value
1689268839.576909,0,0.08657292276620865
1689269347.760912,1,0.28174665570259094
1689269855.956952,2,0.40698036551475525
1689270378.944737,3,0.48506155610084534
1689270887.829039,4,0.5386413335800171
1689271396.414371,5,0.5819180607795715
1689271905.490539,6,0.6163135170936584
1689272413.222973,7,0.64118492603302
1689272920.960724,8,0.6642061471939087
1689273429.075012,9,0.6831762194633484
1689273936.878942,10,0.7015230655670166
1689274445.969062,11,0.7160719633102417
1689274954.215413,12,0.7312052249908447
1689275462.234981,13,0.7406902313232422
1689275970.137301,14,0.7527072429656982
1689276478.729709,15,0.7621728181838989
1689276987.826173,16,0.7699828743934631
1689277495.830191,17,0.7785914540290833
1689278004.96998,18,0.7887387275695801
1689278511.819863,19,0.7913874983787537
1689279019.539351,20,0.8003271818161011
1689279525.263109,21,0.8051378726959229
1689280031.431686,22,0.8132011294364929
1689280537.093618,23,0.8161031603813171
1689281045.021771,24,0.8186740279197693
1689281552.44806,25,0.8257245421409607
1689282061.628392,26,0.8296003341674805
1689282569.06953,27,0.8350342512130737
1689283071.643007,28,0.8357159495353699
