Wall time,Step,Value
1689313773.306065,0,0.058351512998342514
1689314643.565894,1,0.2478381097316742
1689315515.065808,2,0.4067077040672302
1689316386.629017,3,0.5022008419036865
1689317256.6767,4,0.5650514364242554
1689318128.696857,5,0.6115222573280334
1689319000.735367,6,0.6484691500663757
1689319871.410127,7,0.6822413802146912
1689320741.336833,8,0.70368492603302
1689321612.799327,9,0.7220512628555298
1689322482.886487,10,0.7414498329162598
1689323357.850326,11,0.7526098489761353
1689324230.915522,12,0.7703723907470703
1689325103.585252,13,0.7802079916000366
1689325975.499217,14,0.7917770147323608
1689326845.107648,15,0.7981458306312561
1689327711.352852,16,0.8103965520858765
1689328579.523309,17,0.8138439059257507
1689329448.804894,18,0.8246143460273743
1689330316.75769,19,0.8306910395622253
1689331182.065673,20,0.8382284045219421
1689332035.971251,21,0.8428637981414795
1689332880.684106,22,0.8477329611778259
1689333719.875439,23,0.8534590005874634
1689334550.956774,24,0.8590487837791443
1689335382.937255,25,0.863216757774353
1689336212.182619,26,0.8688843846321106
1689337044.167095,27,0.8693323731422424
1689337870.752532,28,0.8753895163536072
1689338700.561723,29,0.877376139163971
1689339541.080277,30,0.8809987306594849
1689340396.611423,31,0.8830243349075317
1689341160.761173,32,0.8882439732551575
1689341901.184206,33,0.8876986503601074
1689342633.434007,34,0.8927625417709351
1689343361.814173,35,0.8950023651123047
1689344107.591111,36,0.8977095484733582
1689344841.791749,37,0.8988586664199829
1689345586.667077,38,0.9030850529670715
1689346334.201365,39,0.9043705463409424
