Wall time,Step,Value
1689293944.561506,0,0.8410914540290833
1689294442.608201,1,0.8443050980567932
1689294939.633209,2,0.8483561873435974
1689295436.531622,3,0.8509465456008911
1689295932.929489,4,0.8541601896286011
1689296431.794271,5,0.8574127554893494
1689296930.272928,6,0.857880175113678
1689297428.826987,7,0.8634698987007141
1689297927.199174,8,0.8686311841011047
1689298425.871455,9,0.8690207004547119
1689298923.56641,10,0.8683585524559021
1689299419.471383,11,0.8716695308685303
1689299916.353674,12,0.8750584125518799
1689300414.601848,13,0.8787199854850769
1689300912.101321,14,0.8780772686004639
1689301410.594696,15,0.8794600963592529
1689301908.811775,16,0.8834722638130188
1689302407.205854,17,0.8851082921028137
1689302906.414033,18,0.8886335492134094
1689303403.795008,19,0.8868611454963684
1689303902.466595,20,0.8897826671600342
1689304398.996995,21,0.8902890086174011
1689304899.31858,22,0.892217218875885
1689305401.206828,23,0.8939311504364014
1689305898.050571,24,0.897222638130188
1689306395.515797,25,0.8970084190368652
1689306894.534853,26,0.8981380462646484
1689307391.573294,27,0.9008063077926636
1689307890.577902,28,0.8997935652732849
1689308388.917305,29,0.9015854001045227
1689308888.536654,30,0.9021112322807312
